Num_Pages,Age,Ratings_Count_Log,Text_Reviews_Count_Log,Author_TargetEnc,Publisher_TargetEnc,Author_Frequency,Publisher_Frequency,Language_Code_French,Language_Code_German,Language_Code_Japanese,Language_Code_Others,Language_Code_Spanish
172,22,5.7899601708972535,2.3978952727983707,3.950598271115709,4.005432084694679,3,8,False,False,False,False,False
48,22,8.74957394808293,4.174387269895637,3.9725252295003837,4.022156213113903,1,91,False,False,False,False,False
404,22,8.307212626628308,5.099866427824199,3.9379797749549286,3.95454289572471,1,148,False,False,False,False,False
240,36,6.406879986069314,3.8066624897703196,3.879356711816012,3.9274224212815505,9,212,False,False,False,False,False
254,23,4.04305126783455,1.791759469228055,3.9107070476822017,3.9107070476822017,1,1,False,False,False,False,False
261,22,8.91798070997329,5.176149732573829,4.049928307242071,4.022156213113903,21,91,False,False,False,False,False
132,24,6.073044534100405,4.04305126783455,3.917070684045838,3.8823610952815137,1,6,False,False,False,False,False
410,28,3.828641396489095,1.6094379124341003,3.9461615931367473,3.9792810308531896,1,7,True,False,False,False,False
116,20,4.2626798770413155,2.5649493574615367,3.966161593136747,3.9425120662827924,1,13,False,False,False,False,False
3020,45,7.913886714856082,4.442651256490317,3.9607070476822015,3.9607070476822015,1,1,False,False,False,False,False
132,28,6.859614903654202,4.060443010546419,3.9434343204094744,3.9079894059287716,1,11,False,False,False,False,False
388,19,9.989573501449257,6.910750787961936,3.9965185016336147,3.9329084930074147,5,58,False,False,False,False,False
48,26,5.4638318050256105,1.6094379124341003,3.947979774954929,3.947979774954929,1,1,False,False,False,False,False
104,28,8.264363329731667,4.31748811353631,3.9839814603753516,4.099299511402266,2,36,False,False,False,False,False
320,23,7.427144133408616,4.770684624465665,3.9573147937086848,3.9375111009801684,2,15,False,False,False,False,False
544,19,6.54965074223381,2.995732273553991,3.9407070476822015,3.964656072595439,1,11,False,False,False,False,False
1369,24,6.410174881966167,3.8918202981106265,3.9797979567731105,3.9797979567731105,1,1,False,False,False,False,False
301,31,7.844632644464681,4.442651256490317,3.975252502227656,3.8615925841501406,1,20,False,False,False,False,False
273,20,7.176254532017144,5.087596335232384,3.953434320409474,3.862435308554852,1,63,False,False,False,False,False
288,30,7.59488438721652,4.672828834461906,4.0431851683002815,3.9973610952815135,5,6,False,False,False,False,False
180,20,7.01211529430638,4.983606621708336,3.8017360952815134,3.843080796568374,6,12,False,False,False,False,False
240,19,5.4116460518550396,3.1780538303479458,3.9161615931367475,3.9021367326541707,1,3,False,False,False,False,False
298,21,10.002970831021079,6.616065185132817,4.104444432932009,4.0255703669933895,12,65,False,False,False,False,False
240,68,4.356708826689592,2.6390573296152584,3.9552525022276566,3.95772945758714,1,13,False,False,False,False,False
576,21,4.04305126783455,2.1972245773362196,3.892525229500383,3.90159258415014,1,20,False,False,False,False,False
240,29,5.517452896464707,3.332204510175204,3.9597979567731105,4.075555537464587,1,4,False,False,False,False,False
448,29,8.745125259462244,5.616771097666572,3.931481460375352,3.9450544612647884,2,41,False,False,False,False,False
512,29,5.298317366548036,2.5649493574615367,3.9169841088931583,3.95454289572471,4,148,False,False,False,False,False
184,21,7.436617265234227,4.465908118654584,4.022314793708685,4.196296293385106,2,77,False,False,False,False,False
160,27,10.50862285577286,6.516193076042964,3.9925252295003832,4.099299511402266,1,36,False,False,False,False,False
112,29,4.7535901911063645,1.6094379124341003,3.9816161385912925,3.9816161385912925,1,1,False,False,False,False,False
320,24,5.017279836814924,2.8903717578961645,3.9716161385912927,3.9716161385912927,1,1,False,False,False,False,False
464,26,7.645397699428633,4.820281565605037,3.9525252295003837,3.9477777757834978,1,117,False,False,False,False,False
169,27,3.2188758248682006,1.0986122886681098,3.8852525022276563,3.875648127042018,1,2,False,False,False,False,False
466,21,2.8903717578961645,2.302585092994046,3.9625252295003834,3.9625252295003834,1,1,False,False,False,False,False
254,20,4.007333185232471,1.791759469228055,3.936161593136747,3.9223147937086846,1,2,False,False,False,False,False
501,38,1.0986122886681098,0.0,3.92888886586402,3.851068366327085,1,16,False,False,False,False,False
454,20,10.205479252168017,6.854354502255021,3.9965185016336147,3.906213982389045,5,17,False,False,False,False,False
320,20,9.966133659186399,6.6293632534374485,3.967070684045838,3.9209356591844324,1,9,False,False,False,False,False
756,20,5.384495062789089,3.6375861597263857,3.9043434113185653,3.9477777757834978,1,117,False,False,False,False,False
177,19,2.70805020110221,1.3862943611198906,3.877979774954929,4.0443360371830295,1,31,False,False,False,False,False
743,25,12.311067594376595,9.316680407747508,4.056543195805791,3.8975272306323943,8,92,False,False,False,False,False
311,21,12.729608155408531,9.205327830152639,3.980598271115709,3.9607070476822015,3,1,False,False,False,False,False
240,20,10.79890188082263,8.27614021955846,3.957070684045838,4.005751619088483,1,7,False,False,False,False,False
112,19,6.959398512133975,3.6109179126442243,3.9461615931367473,3.9461615931367473,1,1,False,False,False,False,False
281,28,8.560635749259074,5.703782474656201,3.931616138591292,3.8895925841501406,1,20,False,False,False,False,False
430,24,1.9459101490553132,0.0,3.9516161385912922,3.9516161385912922,1,1,True,False,False,False,False
143,22,5.247024072160486,2.9444389791664403,3.914343411318565,3.940365493743476,1,66,False,False,False,False,False
830,27,9.488956472414216,5.978885764901122,3.934343411318565,3.95454289572471,1,148,False,False,False,False,False
579,29,3.044522437723423,0.6931471805599453,3.954343411318565,3.93163397202966,1,7,False,False,False,False,False
40,22,6.304448802421981,4.736198448394496,3.9725252295003837,3.9151028712779343,1,17,False,False,False,False,False
613,34,1.0986122886681098,0.0,3.94888886586402,3.9798610952815134,1,6,False,False,False,False,False
224,34,3.1780538303479458,1.3862943611198906,3.824841251750301,3.9726983946074443,4,4,False,False,False,False,False
490,23,9.23317760587894,5.7899601708972535,4.002314793708685,3.9274224212815505,2,212,False,False,False,False,False
557,21,8.084562415235304,5.153291594497779,3.9816161385912925,3.95454289572471,1,148,False,False,False,False,False
320,34,8.545197387825835,5.081404364984463,3.917070684045838,3.8975272306323943,1,92,False,False,False,False,False
455,24,4.584967478670572,2.3978952727983707,3.9965608345002,4.022156213113903,11,91,False,False,False,False,False
283,20,6.706862336602747,4.30406509320417,3.880648127042018,3.897811440136491,2,23,False,False,False,False,False
400,26,5.877735781779639,2.8903717578961645,3.9452525022276563,3.898663442384119,1,59,False,False,False,False,False
405,23,9.50985219618154,6.2285110035911835,3.960648127042018,3.953434320409474,2,1,False,False,False,False,False
323,48,4.584967478670572,1.0986122886681098,3.909797956773111,3.9210699541574856,1,44,False,False,False,False,False
